latitude,longitude,elevation,datetime,elapsed_time_seconds,geometry,previous_geometry,distance_since_previous
40.710289,-74.002211,22.1,2023-07-25 12:52:46+00:00,646.0,POINT (983637.0267060502 198053.93785789673),POINT (983664.4725599336 198024.42643250423),40.301353874106745
40.710368,-74.00231,21.7,2023-07-25 12:52:47+00:00,647.0,POINT (983609.5808996602 198082.7206541597),POINT (983637.0267060502 198053.93785789673),39.77086432437391
40.710451,-74.002409,21.2,2023-07-25 12:52:48+00:00,648.0,POINT (983582.1351984061 198112.9608026787),POINT (983609.5808996602 198082.7206541597),40.83788804265568
40.710535,-74.002503,20.8,2023-07-25 12:52:49+00:00,649.0,POINT (983556.0757609896 198143.56527313398),POINT (983582.1351984061 198112.9608026787),40.19611785126729
40.710617,-74.002597,20.4,2023-07-25 12:52:50+00:00,650.0,POINT (983530.0163676561 198173.44111141175),POINT (983556.0757609896 198143.56527313398),39.64413820112612
40.710698,-74.002695,19.9,2023-07-25 12:52:51+00:00,651.0,POINT (983502.8480819082 198202.9526818096),POINT (983530.0163676561 198173.44111141175),40.11294725927617
40.710783,-74.002789,19.5,2023-07-25 12:52:52+00:00,652.0,POINT (983476.7888525806 198233.92156858387),POINT (983502.8480819082 198202.9526818096),40.474132247469996
40.710863,-74.002888,19.0,2023-07-25 12:52:53+00:00,653.0,POINT (983449.3434515339 198263.06887806687),POINT (983476.7888525806 198233.92156858387),40.03518063790477
40.710941,-74.002991,18.5,2023-07-25 12:52:54+00:00,654.0,POINT (983420.7891502283 198291.48759619574),POINT (983449.3434515339 198263.06887806687),40.28612246349265
40.711018,-74.00309,18.1,2023-07-25 12:52:55+00:00,655.0,POINT (983393.3438428906 198319.54197878824),POINT (983420.7891502283 198291.48759619574),39.24657026423967
40.711098,-74.003189,17.6,2023-07-25 12:52:56+00:00,656.0,POINT (983365.8986387586 198348.68938347633),POINT (983393.3438428906 198319.54197878824),40.03511496047767
40.711179,-74.003283,17.2,2023-07-25 12:52:57+00:00,657.0,POINT (983339.8396858487 198378.20109776448),POINT (983365.8986387586 198348.68938347633),39.37017026868797
40.71126,-74.003379,16.7,2023-07-25 12:52:58+00:00,658.0,POINT (983313.2263282822 198407.71286171352),POINT (983339.8396858487 198378.20109776448),39.73933834813441
40.711343,-74.003474,16.3,2023-07-25 12:52:59+00:00,659.0,POINT (983286.8902979537 198437.95330468527),POINT (983313.2263282822 198407.71286171352),40.10075915225559
40.711426,-74.003569,15.8,2023-07-25 12:53:00+00:00,660.0,POINT (983260.5543332164 198468.19377656243),POINT (983286.8902979537 198437.95330468527),40.10073787350765
40.711504,-74.003662,15.3,2023-07-25 12:53:01+00:00,661.0,POINT (983234.7728238383 198496.6126027205),POINT (983260.5543332164 198468.19377656243),38.370768900508715
40.711584,-74.003758,14.9,2023-07-25 12:53:02+00:00,662.0,POINT (983208.1597080934 198525.76015278572),POINT (983234.7728238383 198496.6126027205),39.46945153477067
40.711664,-74.003852,14.6,2023-07-25 12:53:03+00:00,663.0,POINT (983182.1011208673 198554.90770793406),POINT (983208.1597080934 198525.76015278572),39.09769736628152
40.711744,-74.00395,14.3,2023-07-25 12:53:04+00:00,664.0,POINT (983154.933668258 198584.0553413235),POINT (983182.1011208673 198554.90770793406),39.84538886097004
40.711819,-74.004051,14.0,2023-07-25 12:53:05+00:00,665.0,POINT (983126.9345016802 198611.38139237097),POINT (983154.933668258 198584.0553413235),39.123731863180495
40.711892,-74.004142,13.8,2023-07-25 12:53:06+00:00,666.0,POINT (983101.7076772435 198637.9786841149),POINT (983126.9345016802 198611.38139237097),36.65799502525217
40.711964,-74.004227,13.5,2023-07-25 12:53:07+00:00,667.0,POINT (983078.1442768689 198664.21159169773),POINT (983101.7076772435 198637.9786841149),35.26186718628898
40.712031,-74.004303,13.3,2023-07-25 12:53:08+00:00,668.0,POINT (983057.0759148303 198688.62274814822),POINT (983078.1442768689 198664.21159169773),32.24562665291016
40.712096,-74.004371,13.1,2023-07-25 12:53:09+00:00,669.0,POINT (983038.2254028661 198712.3051517026),POINT (983057.0759148303 198688.62274814822),30.26876342740597
