latitude,longitude,elevation,datetime,elapsed_time_seconds,geometry,previous_geometry,distance_since_previous
40.693597,-73.980155,8.6,2023-07-25 12:42:46+00:00,46.0,POINT (989753.1664743226 191973.15994068663),POINT (989773.9650303011 191970.9786847543),20.91262317922498
40.693605,-73.980223,8.7,2023-07-25 12:42:47+00:00,47.0,POINT (989734.3089095578 191976.07031147572),POINT (989753.1664743226 191973.15994068663),19.08082825740164
40.693616,-73.980294,8.7,2023-07-25 12:42:48+00:00,48.0,POINT (989714.619181279 191980.0734980362),POINT (989734.3089095578 191976.07031147572),20.092558381904244
40.693626,-73.980367,8.8,2023-07-25 12:42:49+00:00,49.0,POINT (989694.374926493 191983.71224681125),POINT (989714.619181279 191980.0734980362),20.568673863086843
40.693633,-73.980438,8.9,2023-07-25 12:42:50+00:00,50.0,POINT (989674.6855364409 191986.25814802412),POINT (989694.374926493 191983.71224681125),19.85330434990159
40.693642,-73.98051,8.9,2023-07-25 12:42:51+00:00,51.0,POINT (989654.7186811251 191989.53266235028),POINT (989674.6855364409 191986.25814802412),20.233579892740764
40.693623,-73.980606,9.0,2023-07-25 12:42:52+00:00,52.0,POINT (989628.098716283 191982.60449451258),POINT (989654.7186811251 191989.53266235028),27.506763491587442
40.693663,-73.980665,9.1,2023-07-25 12:42:53+00:00,53.0,POINT (989611.7343663065 191997.1740550911),POINT (989628.098716283 191982.60449451258),21.910363885746815
40.69366,-73.980752,9.2,2023-07-25 12:42:54+00:00,54.0,POINT (989587.6088820166 191996.07575358255),POINT (989611.7343663065 191997.1740550911),24.150471184279745
40.693624,-73.980838,9.2,2023-07-25 12:42:55+00:00,55.0,POINT (989563.7633327685 191982.95466532875),POINT (989587.6088820166 191996.07575358255),27.217148563183045
40.69362,-73.980913,9.3,2023-07-25 12:42:56+00:00,56.0,POINT (989542.9655998151 191981.49280689334),POINT (989563.7633327685 191982.95466532875),20.84904616723004
40.693649,-73.980927,9.3,2023-07-25 12:42:57+00:00,57.0,POINT (989539.0809963316 191992.05751490121),POINT (989542.9655998151 191981.49280689334),11.256251574819721
40.693656,-73.981016,9.5,2023-07-25 12:42:58+00:00,58.0,POINT (989514.40009962 191994.6024597001),POINT (989539.0809963316 191992.05751490121),24.81175944024648
40.693624,-73.981124,9.5,2023-07-25 12:42:59+00:00,59.0,POINT (989484.45343352 191982.9374456634),POINT (989514.40009962 191994.6024597001),32.138378350159854
40.693603,-73.981211,9.6,2023-07-25 12:43:00+00:00,60.0,POINT (989460.3293359905 191975.28134075223),POINT (989484.45343352 191982.9374456634),25.309840458346557
40.693596,-73.981289,9.6,2023-07-25 12:43:01+00:00,61.0,POINT (989438.6999013951 191972.72640486382),POINT (989460.3293359905 191975.28134075223),21.77981033683372
40.693585,-73.98138,9.7,2023-07-25 12:43:02+00:00,62.0,POINT (989413.4657747064 191968.71340394497),POINT (989438.6999013951 191972.72640486382),25.55122944429433
40.693592,-73.981451,9.7,2023-07-25 12:43:03+00:00,63.0,POINT (989393.77640199 191971.25953282302),POINT (989413.4657747064 191968.71340394497),19.853316353490502
40.693594,-73.981517,9.8,2023-07-25 12:43:04+00:00,64.0,POINT (989375.4739549952 191971.98432301264),POINT (989393.77640199 191971.25953282302),18.316792481680498
40.693611,-73.981588,9.8,2023-07-25 12:43:05+00:00,65.0,POINT (989355.7838231369 191978.17377703855),POINT (989375.4739549952 191971.98432301264),20.640025041968617
40.693613,-73.981666,9.9,2023-07-25 12:43:06+00:00,66.0,POINT (989334.153693854 191978.89789915693),POINT (989355.7838231369 191978.17377703855),21.642246778909854
40.693608,-73.981741,10.0,2023-07-25 12:43:07+00:00,67.0,POINT (989313.3560195906 191977.0719078619),POINT (989334.153693854 191978.89789915693),20.877679444193134
40.69361,-73.981795,10.1,2023-07-25 12:43:08+00:00,68.0,POINT (989298.3812681726 191977.79745000912),POINT (989313.3560195906 191977.0719078619),14.992317747367586
40.693624,-73.981866,10.1,2023-07-25 12:43:09+00:00,69.0,POINT (989278.691386948 191982.89397822716),POINT (989298.3812681726 191977.79745000912),20.338781244660222
40.693634,-73.981925,10.1,2023-07-25 12:43:10+00:00,70.0,POINT (989262.3295020829 191986.53389109246),POINT (989278.691386948 191982.89397822716),16.761868690739494
40.693637,-73.981973,10.1,2023-07-25 12:43:11+00:00,71.0,POINT (989249.0185267993 191987.62413647494),POINT (989262.3295020829 191986.53389109246),13.355549333332943
40.693639,-73.98204,10.2,2023-07-25 12:43:12+00:00,72.0,POINT (989230.4387891939 191988.34897888097),POINT (989249.0185267993 191987.62413647494),18.59387119454902
40.693642,-73.982082,10.2,2023-07-25 12:43:13+00:00,73.0,POINT (989218.7916599312 191989.43958202368),POINT (989230.4387891939 191988.34897888097),11.69807827279773
40.693647,-73.982137,10.3,2023-07-25 12:43:14+00:00,74.0,POINT (989203.5393888343 191991.2581142248),POINT (989218.7916599312 191989.43958202368),15.360300549808311
40.693632,-73.982161,10.3,2023-07-25 12:43:15+00:00,75.0,POINT (989196.8851278696 191985.79181641067),POINT (989203.5393888343 191991.2581142248),8.611596877424457
40.693631,-73.982226,10.4,2023-07-25 12:43:16+00:00,76.0,POINT (989178.8602268046 191985.42382291702),POINT (989196.8851278696 191985.79181641067),18.028657121699368
40.693624,-73.982273,10.5,2023-07-25 12:43:17+00:00,77.0,POINT (989165.8272992531 191982.87087579293),POINT (989178.8602268046 191985.42382291702),13.280615180859256
